"Data";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Brasil"
"04/2017";21;40;110;2;322;39;64;140;139;633;256;209;993;262;126;633;2542;653;1004;6148;2539;1221;2478;229;250;756;311;22120
"05/2017";15;36;156;5;214;38;98;194;185;627;300;241;1080;272;100;723;2904;708;1182;7174;2645;1327;3170;247;292;825;237;24995
"06/2017";24;50;82;5;297;50;59;163;226;672;286;200;1080;265;97;716;2806;772;1149;6605;2591;1286;2706;221;280;812;287;23787
"07/2017";33;49;149;2;297;39;91;156;208;591;278;202;954;235;90;582;2782;773;1125;7485;2707;1284;2772;278;257;793;252;24464
"08/2017";26;53;158;5;260;37;91;167;178;729;350;265;1040;254;154;769;2871;831;1099;7350;2956;1185;2824;255;259;853;305;25324
"09/2017";23;51;123;5;335;46;72;228;211;749;326;272;1042;241;128;743;2720;588;1182;7360;2858;1126;3142;240;235;829;216;25091
"10/2017";20;53;134;3;321;48;99;185;220;798;320;269;984;263;132;765;2607;561;1154;6922;2933;1178;2805;257;225;781;246;24283
"11/2017";18;56;137;6;294;50;77;193;199;733;321;250;935;238;91;737;2769;631;1070;7163;3027;1141;2881;250;258;780;311;24616
"12/2017";31;39;147;1;292;44;64;188;184;758;312;236;965;262;193;642;2701;615;1073;7451;2935;1137;2533;264;240;805;282;24394
"01/2018";15;37;122;2;229;58;49;152;227;742;368;199;958;272;55;783;2673;642;1110;6628;2892;1057;2656;239;254;776;244;23439
"02/2018";51;36;147;4;299;37;65;132;202;663;310;247;868;246;54;653;2427;595;1185;6839;2650;974;2417;251;181;712;256;22501
"03/2018";29;55;151;3;317;42;60;173;214;773;370;269;996;313;118;759;2846;585;1186;7414;2958;1245;2702;226;283;818;269;25174
"04/2018";74;44;169;2;283;31;64;212;196;741;302;285;927;285;86;733;2870;630;1029;7243;2855;1256;2765;231;226;779;279;24597
"05/2018";24;49;141;3;289;45;49;199;242;580;303;227;985;257;126;864;2690;627;1123;7109;3056;1273;2743;257;179;790;292;24522
"06/2018";44;52;120;7;287;35;70;179;231;587;305;278;919;241;88;831;2686;561;1116;6915;2931;1137;3045;210;207;848;356;24286
"07/2018";51;36;134;6;272;35;95;210;222;591;358;234;990;285;112;817;2907;627;1355;7285;3008;1323;2843;220;207;684;345;25252
"08/2018";43;44;131;4;283;43;61;234;226;678;364;265;1000;234;169;831;2869;684;1305;7683;3240;1351;2873;240;210;824;330;26219
"09/2018";59;38;171;12;244;54;90;207;206;676;278;261;1023;323;88;951;2854;707;1082;6853;2992;1391;2644;319;184;765;299;24771
"10/2018";31;24;155;3;1711;53;91;226;231;721;279;250;1022;276;147;926;2823;804;1210;7861;3113;1342;2751;256;244;744;283;27577
"11/2018";51;37;165;4;303;41;69;203;208;807;341;247;890;268;112;839;2772;974;1210;7080;3187;1351;2672;281;222;774;207;25315
"12/2018";34;21;145;-;344;74;82;199;207;749;305;234;928;262;152;789;3004;939;1251;7095;2918;1076;2743;253;172;815;187;24978
"01/2019";32;45;163;2;295;20;110;194;203;836;229;178;865;216;124;797;2640;685;1266;7172;2666;1252;2634;216;121;716;296;23973
"02/2019";27;26;125;2;248;30;95;200;212;790;321;225;867;254;154;668;2557;632;1259;7111;2792;1306;2686;245;150;779;271;24032
"03/2019";22;47;159;1;225;21;98;242;214;770;454;252;894;241;230;943;2720;677;1133;6799;3029;1145;2347;251;191;781;265;24151
"04/2019";22;33;150;2;292;112;94;216;176;722;357;261;1054;229;142;942;2708;641;1216;6714;2833;1206;2839;299;161;804;220;24445
"05/2019";35;30;116;1;248;54;79;216;237;794;422;243;1019;231;175;847;2841;770;1462;7106;3081;1416;2694;295;197;854;270;25733
"06/2019";71;44;163;4;351;23;101;213;197;747;413;232;934;245;141;893;2898;862;1238;6659;2850;1194;2695;234;272;769;321;24764
"07/2019";88;41;126;2;154;44;84;229;228;792;355;235;1042;274;161;942;3226;942;1468;6835;2905;1467;2822;263;227;738;368;26058
"08/2019";71;50;113;3;163;57;112;227;240;957;415;256;1095;246;142;941;3021;838;1403;7031;2970;1526;3013;296;220;833;445;26684
"09/2019";46;39;155;3;173;27;105;196;229;804;432;226;1090;218;168;922;2772;909;1415;7181;3104;1329;2892;265;177;729;216;25822
"10/2019";66;44;99;3;254;71;101;191;253;917;393;225;1073;253;152;923;2819;939;1396;7538;2934;1442;3136;277;236;752;261;26748
"11/2019";63;31;114;4;239;51;83;219;222;774;476;219;1118;267;146;794;2847;892;1347;6692;2752;1333;3158;264;205;729;325;25364
